,Unnamed: 0,Manufacturer Identification Number,Model Identification Numer,No. Of Driving Axles,max. Length,max. Width,max. Height,max. Gross Vehicle Weight,Manufacturer,Commercial Name,Type,Wheelbase,Power/Weight Ratio,Seats,Fuel Code,max. Top Speed,Fuel Type,Commercial Name New,Enedc (g/km)
40,137,5,ADT,1.0,4531,1817,1421,2015,BMW,3er Reihe,390L,2760.0,0.1216,5,1,250.0,PETROL,3er Reihe,165.89655172413794
41,139,5,ADV,1.0,4520,1817,1421,1980,BMW,3er Reihe,390L,2760.0,0.102479338842975,5,1,243.0,PETROL,3er Reihe,165.89655172413794
42,141,5,ADX,1.0,4520,1817,1418,2000,BMW,3er Reihe,390L,2760.0,0.0723684210526315,5,1,218.0,PETROL,3er Reihe,165.89655172413794
43,142,5,ADY,1.0,4520,1817,1418,2060,BMW,3er Reihe,390L,2760.0,0.0987261146496815,5,1,241.0,PETROL,3er Reihe,165.89655172413794
44,144,5,AEA,2.0,4520,1817,1418,2200,BMW,3er Reihe,390X,2760.0,0.110144927536231,5,1,250.0,PETROL,3er Reihe,184.95454545454547
45,145,5,AEB,2.0,4531,1817,1421,2080,BMW,3er Reihe,390X,2760.0,0.0984615384615384,5,1,242.0,PETROL,3er Reihe,184.95454545454547
46,148,5,AEE,2.0,4527,1817,1418,2200,BMW,3er Reihe,390X,2760.0,0.093841642228739,5,1,240.0,PETROL,3er Reihe,184.95454545454547
47,149,5,AEF,2.0,4520,1817,1421,2115,BMW,3er Reihe,390X,2760.0,0.114285714285714,5,1,250.0,PETROL,3er Reihe,184.95454545454547
48,150,5,AEG,1.0,4488,1757,1372,1995,BMW,3er Reihe,346R,2725.0,0.0765696784073506,4,1,222.0,PETROL,,
49,151,5,AEH,1.0,4488,1757,1372,1960,BMW,3er Reihe,346R,2725.0,0.0688575899843505,4,1,206.0,PETROL,,
50,152,5,AEI,1.0,4488,1757,1372,2040,BMW,3er Reihe,346R,2725.0,0.10134128166915,4,1,247.0,PETROL,,
51,153,5,AEJ,1.0,4488,1757,1372,1960,BMW,3er Reihe,346R,2725.0,0.0625978090766823,4,1,206.0,PETROL,,
52,155,5,AEL,1.0,4488,1757,1372,2020,BMW,3er Reihe,346R,2725.0,0.0850678733031674,4,1,234.0,PETROL,,
53,157,5,AEN,1.0,4488,1757,1372,1995,BMW,3er Reihe,346R,2725.0,0.0735068912710566,4,1,222.0,PETROL,,
54,158,5,AEO,1.0,4488,1757,1369,1860,BMW,3er Reihe,346C,2725.0,0.0706713780918728,5,1,218.0,PETROL,3er Reihe,226.0
