,Manufacturer Identification Number,Model Identification Numer,No. Of Driving Axles,max. Length,max. Width,max. Height,max. Gross Vehicle Weight,Manufacturer,Commercial Name,Type,Wheelbase,Power/Weight Ratio,Seats,Fuel Code,max. Top Speed,Fuel Type
141,5,ADX,1.0,4520.0,1817.0,1418.0,2000,BMW,3er Reihe,390L,2760.0,0.07236842105263158,5.0,1,218.0,PETROL
142,5,ADY,1.0,4520.0,1817.0,1418.0,2060,BMW,3er Reihe,390L,2760.0,0.09872611464968153,5.0,1,241.0,PETROL
144,5,AEA,2.0,4520.0,1817.0,1418.0,2200,BMW,3er Reihe,390X,2760.0,0.11014492753623188,5.0,1,250.0,PETROL
145,5,AEB,2.0,4531.0,1817.0,1421.0,2080,BMW,3er Reihe,390X,2760.0,0.09846153846153846,5.0,1,242.0,PETROL
148,5,AEE,2.0,4527.0,1817.0,1418.0,2200,BMW,3er Reihe,390X,2760.0,0.093841642228739,5.0,1,240.0,PETROL
149,5,AEF,2.0,4520.0,1817.0,1421.0,2115,BMW,3er Reihe,390X,2760.0,0.11428571428571428,5.0,1,250.0,PETROL
150,5,AEG,1.0,4488.0,1757.0,1372.0,1995,BMW,3er Reihe,346R,2725.0,0.07656967840735068,4.0,1,222.0,PETROL
151,5,AEH,1.0,4488.0,1757.0,1372.0,1960,BMW,3er Reihe,346R,2725.0,0.06885758998435054,4.0,1,206.0,PETROL
152,5,AEI,1.0,4488.0,1757.0,1372.0,2040,BMW,3er Reihe,346R,2725.0,0.10134128166915052,4.0,1,247.0,PETROL
153,5,AEJ,1.0,4488.0,1757.0,1372.0,1960,BMW,3er Reihe,346R,2725.0,0.06259780907668232,4.0,1,206.0,PETROL
155,5,AEL,1.0,4488.0,1757.0,1372.0,2020,BMW,3er Reihe,346R,2725.0,0.08506787330316742,4.0,1,234.0,PETROL
157,5,AEN,1.0,4488.0,1757.0,1372.0,1995,BMW,3er Reihe,346R,2725.0,0.07350689127105667,4.0,1,222.0,PETROL
158,5,AEO,1.0,4488.0,1757.0,1369.0,1860,BMW,3er Reihe,346C,2725.0,0.0706713780918728,5.0,1,218.0,PETROL
160,5,AEQ,1.0,4488.0,1757.0,1369.0,1930,BMW,3er Reihe,346C,2725.0,0.08403361344537816,5.0,1,226.0,PETROL
161,5,AER,1.0,4488.0,1757.0,1369.0,1965,BMW,3er Reihe,346C,2725.0,0.1116584564860427,5.0,1,250.0,PETROL
162,5,AES,1.0,4488.0,1757.0,1369.0,1860,BMW,3er Reihe,346C,2725.0,0.07773851590106007,5.0,1,218.0,PETROL
