abi_code,INFORCE,MARKET_QTY
711201, -   ,0
711202,1,1
711301, -   ,0
711302,1,1
711401, -   ,0
711402, -   ,0
711501, -   ,0
711502, -   ,0
711601, -   ,0
711701, -   ,0
711702, -   ,0
711801, -   ,0
711802, -   ,0
711901, -   ,0
711902, -   ,0
712001, -   ,0
712002, -   ,0
712101, -   ,0
712102, -   ,0
712201, -   ,0
712202, -   ,0
712301, -   ,0
712302, -   ,0
712401, -   ,0
712402,10,10
712501,3,3
712502,16,47
712601, -   ,0
712602,2,2
712701, -   ,0
712702,16,16
712801,2,12
712901,14,14
713001,1,1
713101,14,14
713201,1,1
713301,5,5
713401, -   ,0
713402,4,4
713501,2,2
713502,11,11
713601, -   ,0
713602, -   ,0
800101, -   ,30
800201, -   ,52
800301, -   ,71
800401, -   ,0
800501, -   ,0
800601, -   ,0
900101, -   ,4
900201, -   ,29
900301, -   ,20
900401,1,277
900501, -   ,0
900601, -   ,0
900701, -   ,338
900801, -   ,0
900901, -   ,0
901001, -   ,0
901101, -   ,7
901201, -   ,3
901301, -   ,0
901401, -   ,0
901501, -   ,0
901601, -   ,1
901701, -   ,2
901801,1,17
901901, -   ,1
902001, -   ,0
902101, -   ,111
902201,1,1
902301, -   ,0
902401, -   ,0
902501, -   ,55
902601, -   ,163
902701, -   ,52
902801, -   ,7
902901, -   ,0
903001,1,1
903101, -   ,8
903201, -   ,0
903301, -   ,0
903401, -   ,1
903501,3,3
903601, -   ,0
903701,2,86
903801, -   ,46
903901, -   ,580
904001, -   ,0
904101, -   ,0
904201, -   ,0
904301,2,305
904302, -   ,21
904303, -   ,0
1000101, -   ,45
1000102, -   ,2
1000201, -   ,39
1000202, -   ,18
1000301, -   ,29
1000401, -   ,18
1000501,1,17
1000601, -   ,42
1000701, -   ,22
1000801, -   ,10
1000901, -   ,18
1001001, -   ,15
1001002, -   ,13
1001101, -   ,59
1001201, -   ,157
1001301, -   ,0
1001401, -   ,0
1001501, -   ,106
1001601,5,193
1001701, -   ,144
1001801,16,738
1001901,37,"1,732"
1002001, -   ,67
1002101,3,44
1002201,2,53
1002301, -   ,20
1002401, -   ,52
1002501, -   ,41
1002601,3,232
1002602,1,43
1002701,6,448
1002702, -   ,60
1002801,4,477
1002802,1,48
1002803, -   ,22
1002901,10,519
1002902,6,132
1003001, -   ,16
1003101, -   ,9
1003201,3,55
1003301, -   ,88
1003302,1,62
1003401, -   ,139
1003501,6,207
1003502,2,54
1003601, -   ,103
1003602,1,71
1003701,1,116
1003702, -   ,55
1003801, -   ,4
1003802, -   ,11
1003901,3,175
1003902, -   ,18
1003903, -   ,0
1004001, -   ,0
1004101, -   ,0
1004201, -   ,0
1004301,1,1
1004401, -   ,0
1004501, -   ,0
1004601, -   ,0
1004701, -   ,0
1004801, -   ,0
1004901, -   ,0
1004902, -   ,0
1005001,1,1
1005101,2,2
1005201, -   ,0
1005301,1,151
1005401,3,132
1005402, -   ,35
1005501,9,354
1005502,1,115
1005601, -   ,0
1005701,1,149
1005702,1,76
1005801, -   ,0
1005901, -   ,0
1006001, -   ,0
1006101, -   ,79
1006102, -   ,17
1006201, -   ,38
1006202,3,102
1006301, -   ,0
1006401, -   ,1
1006501, -   ,2
1006601, -   ,0
1006701, -   ,3
1006801, -   ,6
1006901, -   ,0
1007001, -   ,7
1007101, -   ,19
1007201, -   ,1
1007301, -   ,10
1007302, -   ,3
1007401, -   ,"1,022"
1007501,7,335
1007601,16,841
1007701,10,259
1007801, -   ,0
1007901, -   ,0
1007902,1,517
1008001,9,758
1008002,8,700
1008101, -   ,38
1008201, -   ,5
1008301, -   ,9
1008401, -   ,10
1008501, -   ,0
1008601, -   ,0
1008701,3,621
1008702,16,728
1008801,1,190
1008802,1,181
1008901, -   ,0
1009001, -   ,64
1009002, -   ,8
1009101,1,36
1009201, -   ,31
1009301, -   ,20
1009302,1,17
1009401, -   ,36
1009501, -   ,9
1009601, -   ,58
1009602,1,19
1009701,2,326
1009702, -   ,39
1009801,4,149
1009802,2,41
1009901,1,1
1009902, -   ,0
1010001, -   ,17
1010101,1,9
1010201,1,53
1010202, -   ,47
1010301, -   ,0
1010302, -   ,20
1010401, -   ,69
1010402, -   ,0
1010501, -   ,58
1010502, -   ,14
1010601,1,42
1010602,2,30
1010701, -   ,2
1010702, -   ,6
1010801, -   ,15
1010901, -   ,32
1011001, -   ,27
1011101, -   ,11
1011201, -   ,19
1011202, -   ,31
1011301, -   ,62
1011302,2,28
1011401,3,57
1011402,1,41
1011501, -   ,71
1011601,3,106
1011701, -   ,33
1011801, -   ,9
1011901,1,1
1012001,1,23
1012101,1,1
1012201,1,16
1012301, -   ,0
1012302, -   ,5
1012401, -   ,102
1012402, -   ,14
1012501, -   ,0
1012601, -   ,0
1012701, -   ,20
1012702, -   ,13
1012801,3,183
1012802, -   ,20
1012901,1,5
1012902, -   ,18
1013001,7,320
1013002,1,119
1013101, -   ,11
1013102, -   ,8
1013201, -   ,0
1013202, -   ,1
1013301,13,242
1013302,3,75
1013303, -   ,16
1013304, -   ,2
1013401,6,335
1013501,8,122
1013601, -   ,1
1013701, -   ,3
1013801,25,278
1013901,15,555
1013902, -   ,0
1014001,9,250
1014101,3,376
1014201, -   ,4
1014202, -   ,16
1014301,2,42
1014302,3,87
1014401,14,311
1014501, -   ,113
1014502, -   ,38
1014601,1,1
1014701,1,118
1014702, -   ,16
1014801, -   ,29
1014901,6,45
1014902, -   ,74
1015001,1,31
1015002, -   ,18
1015101, -   ,30
1015102, -   ,4
1015201,6,113
1015202,2,100
1015301,1,52
1015302, -   ,0
1015401, -   ,0
1015501,4,259
1015601,6,62
1015701,1,2
1015801, -   ,9
1015901, -   ,3
1015902, -   ,2
1016001, -   ,21
1016101, -   ,13
1016201,10,183
1016301,7,45
1016401, -   ,32
1016402, -   ,95
1016501,2,86
1016502,1,340
1016601,1,22
1016701, -   ,18
1016801, -   ,0
1016901,17,638
1017001,1,31
1017101, -   ,13
1017201, -   ,20
1017301,1,28
1017401, -   ,0
1017501, -   ,0
1017601,3,90
1017602,8,341
1017701,26,417
1017801, -   ,299
1017802,5,13
1017803, -   ,12
1017804,4,69
1017901, -   ,20
1017902, -   ,29
1018001, -   ,1
1018002, -   ,1
1018101, -   ,0
1018201, -   ,1
1018202, -   ,0
1018301,1,2
1018302, -   ,5
1018401, -   ,44
1018402, -   ,0
1018501,1,6
1018502, -   ,13
1018601, -   ,2
1018602, -   ,0
1018701, -   ,4
1018702, -   ,2
1018801, -   ,10
1018802,1,10
1018901,1,1
1019001, -   ,9
1019002, -   ,0
1019101, -   ,31
1019102, -   ,16
1019201,2,159
1019202, -   ,5
1019301, -   ,28
1019302,2,38
1019303,2,59
1019304, -   ,49
1019401, -   ,6
1019402,3,47
1019501, -   ,22
1019502, -   ,30
1019601,4,181
1019602,8,214
1019701,8,671
1019801,2,68
1019802, -   ,2
1019901, -   ,33
1019902,3,50
1020001,1,19
1020101,3,300
1020102,2,85
1020103, -   ,6
1020201, -   ,33
1020202, -   ,1
1020203,1,1
1020301,0,177
1020302,3,25
1020401,2,3
1020402,1,20
1020403, -   ,3
1020404, -   ,1
1020501,24,"1,474"
1020502,20,808
1020503,5,37
1020504, -   ,52
1020601,1,300
1020602,5,143
1020603,3,127
1020604,1,50
1020701,13,158
1020801,1,19
1020802,3,11
1020901,2,226
1020902,5,28
1021001,35,722
1021101,0,170
1021102,1,67
1021201,3,6
1021202,4,19
1021301, -   ,1
1021302,1,2
1021401, -   ,122
1021501,8,538
1021601,32,404
1021701,26,504
1021702,4,47
1021801, -   ,27
1021802, -   ,13
1021803, -   ,91
1021804,5,114
1021901,11,383
1021902,4,312
1022001,8,226
1022002,8,22
1022101, -   ,0
1022201,1,1
1022301, -   ,0
1022401, -   ,0
1022501, -   ,0
1022601, -   ,0
1022701,2,7
1022801,7,76
1022901, -   ,0
1023001, -   ,0
1023101, -   ,0
1023201,2,6
1023301,2,40
1023401, -   ,1
1023501,15,360
1023601,11,102
1023701, -   ,0
1023801, -   ,0
1023802, -   ,0
1023901, -   ,0
